temperature,vibration,humidity,pressure,energy_consumption,maintenance_required
74.72,56.61,59.67,4.58,4.22,0
77.36,47.25,75.58,2.28,3.35,0
66.48,37.14,64.98,2.43,3.77,0
90.76,39.52,51.95,3.9,2.09,1
91.1,55.74,41.13,3.15,3.67,1
62.93,53.93,41.58,2.28,1.96,0
73.7,35.38,40.39,2.93,0.59,0
73.04,51.7,37.23,2.1,1.08,0
92.44,37.0,52.24,3.26,3.19,1
70.05,42.72,78.12,2.0,1.44,0
63.43,84.17,74.68,3.52,4.13,1
84.45,54.56,63.94,3.85,4.49,0
73.26,40.01,43.63,4.03,3.31,0
73.05,43.2,69.28,4.3,1.95,1
88.84,47.93,71.84,3.12,4.62,0
95.91,53.43,50.22,3.1,0.89,1
57.94,29.24,45.82,1.03,4.25,0
86.69,57.61,46.0,1.39,4.81,0
55.93,57.81,62.01,4.44,3.67,0
80.47,11.53,60.49,2.91,2.96,0
73.7,50.46,73.48,1.74,2.73,0
70.7,29.96,53.26,4.75,4.02,0
91.85,7.55,61.32,3.04,1.89,1
69.65,64.87,66.93,3.2,2.53,0
83.97,57.12,30.87,3.36,4.1,0
73.34,40.77,47.73,4.16,4.59,0
73.81,42.21,62.67,3.99,4.54,0
81.78,58.86,74.71,2.65,2.53,0
70.26,59.51,79.53,3.98,3.0,1
68.89,58.75,72.16,3.89,3.09,1
74.18,55.1,53.14,1.67,3.58,0
86.56,73.58,54.29,3.54,4.98,0
81.6,49.9,43.13,1.69,2.98,0
57.05,25.1,63.66,2.82,1.38,0
75.66,66.31,54.21,1.96,2.46,0
61.85,34.91,76.32,1.66,3.9,0
93.97,77.71,65.22,4.91,1.17,1
72.87,62.25,77.22,4.4,4.99,0
78.26,18.58,64.3,2.55,1.42,1
89.43,59.59,72.6,2.28,4.18,0
67.48,60.83,77.44,4.71,4.74,0
74.67,41.48,30.1,2.92,1.7,1
73.95,38.77,44.49,1.53,4.63,0
69.02,41.14,45.54,3.07,4.42,0
78.92,34.06,39.63,2.98,3.87,0
85.59,45.92,53.0,2.45,1.26,0
62.3,22.21,70.62,3.33,4.11,0
63.36,38.81,35.28,2.21,2.7,0
62.61,83.81,61.97,1.02,3.41,1
69.94,26.63,58.42,3.96,0.55,0
55.22,49.24,61.07,4.12,0.73,0
88.77,47.72,54.93,1.86,2.93,0
80.81,46.5,77.79,4.69,3.55,0
85.72,69.07,65.03,3.47,2.69,0
54.54,21.76,56.85,1.5,2.5,0
64.96,58.02,75.23,2.95,2.55,0
66.77,56.07,74.75,3.19,3.38,0
78.43,34.53,77.4,1.32,1.92,0
70.69,48.94,60.35,2.64,1.13,0
64.79,50.25,73.35,2.2,4.07,0
87.1,45.12,70.61,1.41,1.57,0
84.8,67.08,53.05,3.63,3.88,0
79.1,51.05,68.87,4.83,4.03,0
63.99,71.99,61.31,2.75,2.58,0
66.12,46.61,40.55,1.11,3.03,0
85.35,62.53,79.73,3.24,2.5,0
74.31,62.25,45.03,4.3,1.25,0
81.12,28.05,33.34,4.19,3.05,0
63.09,47.15,72.23,1.41,0.58,0
103.16,65.83,73.49,3.77,3.35,1
55.56,45.53,59.19,2.45,0.93,0
70.02,60.2,75.92,3.52,3.61,0
82.58,60.43,59.85,3.0,1.15,0
67.29,27.45,53.67,1.7,2.54,0
76.13,84.7,31.38,3.58,1.9,1
95.29,35.14,40.19,1.68,1.55,1
56.38,44.66,52.92,1.25,1.19,0
58.12,33.48,45.95,4.03,3.25,0
82.65,48.76,64.55,2.08,4.91,0
64.25,39.3,41.3,3.51,0.96,0
73.68,31.31,69.23,3.32,3.35,0
59.14,55.48,37.9,2.6,3.64,0
57.31,35.0,35.07,4.34,3.0,1
66.22,27.33,71.77,3.55,2.76,0
71.41,65.79,54.71,1.49,4.65,0
64.96,37.21,44.78,2.89,1.1,0
80.34,64.2,72.01,1.41,2.46,1
75.28,61.1,58.35,4.62,4.1,1
74.17,37.66,57.3,2.77,2.78,0
84.54,35.67,31.36,2.22,1.84,0
72.03,67.92,70.43,2.54,0.66,0
60.35,67.3,64.04,1.17,1.85,0
77.58,34.23,52.84,2.64,3.24,0
86.22,8.26,32.7,4.44,4.17,0
73.92,55.99,68.25,2.71,2.18,0
84.79,57.65,58.06,4.43,1.58,0
78.55,39.47,36.99,2.57,2.32,0
63.48,61.4,62.22,3.1,1.74,0
71.47,58.18,44.62,1.11,1.71,1
71.96,46.97,66.13,4.55,4.02,0
73.12,52.07,68.31,3.85,2.17,0
87.7,36.36,74.09,3.08,1.55,0
87.26,44.39,49.31,4.11,4.93,0
73.66,22.71,78.19,4.34,4.2,0
57.7,45.85,38.75,3.54,1.8,0
79.28,65.63,48.09,1.73,3.71,1
73.52,52.06,73.84,2.28,2.4,0
81.98,53.94,31.78,1.58,4.0,0
77.06,69.6,68.82,3.93,3.54,1
66.65,44.41,35.19,3.74,4.87,0
81.41,44.64,43.56,4.45,2.67,0
80.19,30.85,52.15,2.98,3.98,0
63.69,51.1,55.78,1.44,2.16,0
75.96,59.37,73.19,4.39,1.95,0
66.88,38.64,40.2,3.37,3.4,0
79.51,36.3,33.84,3.49,2.24,0
72.83,39.93,34.47,4.23,3.39,0
60.37,68.02,54.1,2.47,4.56,0
67.77,49.12,58.53,2.81,4.05,0
79.2,59.01,52.44,3.05,1.49,0
77.41,34.97,47.44,3.69,4.32,0
66.77,52.63,46.99,2.86,2.45,0
80.59,53.52,73.2,3.5,1.88,0
80.46,27.15,78.62,4.42,1.71,0
74.63,40.83,54.39,1.12,3.8,0
77.99,44.2,35.81,1.47,1.4,1
63.88,32.48,69.52,3.29,4.01,0
84.27,48.57,32.28,3.25,4.14,0
72.71,61.39,40.58,2.84,4.06,0
85.43,30.29,77.8,1.83,4.45,0
87.12,68.95,53.26,2.92,1.88,0
70.6,33.73,52.8,2.59,1.39,0
62.2,57.68,70.74,3.69,3.13,0
85.12,37.61,44.78,2.44,1.5,0
81.13,61.61,72.88,2.41,1.18,0
88.82,59.21,54.05,1.36,3.56,0
52.27,70.2,64.03,1.95,3.85,0
80.39,45.35,79.81,2.71,1.33,0
88.16,56.9,67.68,4.53,0.59,0
73.17,78.46,65.05,2.55,4.16,0
52.18,72.37,67.41,4.23,1.0,0
77.43,50.05,38.69,4.78,3.1,0
78.02,59.45,41.85,2.93,4.81,0
77.65,39.35,38.6,4.78,1.65,0
81.03,51.83,63.72,2.09,0.71,1
70.35,59.07,44.16,3.27,3.35,0
88.46,52.48,45.75,1.57,0.56,0
79.57,43.57,64.13,1.19,4.19,0
69.44,50.35,42.32,1.79,0.8,0
67.28,28.35,63.93,3.06,0.83,0
73.61,43.05,43.53,1.02,4.69,0
75.86,40.42,41.99,3.23,2.72,0
81.66,49.03,49.52,4.19,1.43,0
61.76,43.09,36.32,1.87,2.03,0
72.73,28.7,70.74,3.78,4.45,1
72.04,60.7,64.82,1.54,3.52,1
87.97,48.26,60.13,2.1,1.46,0
85.0,23.15,54.78,3.31,2.83,0
81.17,44.69,54.72,3.64,1.9,0
74.47,42.25,35.8,2.12,0.8,0
80.77,42.7,37.79,4.91,3.2,0
75.76,89.91,40.06,3.57,2.45,1
58.34,56.93,78.7,4.85,2.03,0
75.48,56.34,50.04,1.32,3.21,0
79.65,37.55,61.04,3.79,2.04,0
81.32,32.53,43.29,3.69,3.45,1
80.58,74.48,75.52,1.19,4.2,0
81.72,23.19,52.29,1.27,0.75,0
71.89,54.6,51.27,2.37,0.95,1
82.42,47.87,79.33,3.24,4.87,1
55.84,36.45,59.26,2.27,1.48,0
85.92,29.87,35.63,4.16,1.06,0
70.8,56.07,64.85,4.37,3.86,0
86.86,65.89,70.07,1.63,3.16,0
66.82,37.68,42.03,1.35,4.78,0
85.96,57.23,34.21,3.88,2.87,0
63.19,51.77,41.87,2.55,2.57,1
92.44,42.57,74.59,3.09,2.83,1
74.82,68.98,48.06,2.85,2.27,0
64.47,82.45,78.28,2.76,4.83,1
66.1,47.32,51.69,4.91,1.46,0
74.18,46.1,64.94,2.41,3.45,0
83.44,66.07,63.95,2.86,2.52,0
58.62,41.73,36.23,3.43,2.22,0
67.12,32.99,35.17,4.4,4.78,0
90.08,42.32,42.9,1.63,4.82,1
77.6,61.38,37.12,4.43,1.63,0
80.34,47.95,45.34,2.67,1.66,0
79.2,30.87,67.77,2.77,4.6,0
70.19,79.84,30.42,2.39,3.82,0
72.76,26.82,42.08,3.3,4.55,0
77.76,14.28,70.3,4.91,4.01,0
73.59,87.74,43.93,1.53,2.65,1
91.28,67.76,72.54,2.21,1.77,1
81.07,84.12,35.83,1.76,4.75,1
77.42,52.67,67.38,2.61,2.75,0
67.94,44.99,43.73,2.78,3.58,0
83.06,42.84,52.41,4.69,0.88,0
77.69,24.47,67.42,2.99,2.5,0
87.45,51.59,57.71,2.95,1.97,1
77.57,69.29,77.94,3.81,1.02,0
67.39,74.53,57.78,3.58,4.88,0
96.29,45.74,43.9,4.89,3.67,1
79.06,62.36,45.42,2.73,1.3,0
74.48,22.72,70.04,4.68,4.74,0
83.88,48.8,78.45,2.58,4.15,0
63.97,79.28,72.62,2.65,4.1,0
67.99,61.54,42.26,2.18,4.71,0
88.41,69.76,41.24,3.27,2.76,0
81.99,58.96,35.29,1.23,3.69,1
79.28,59.96,79.7,3.96,3.36,0
80.45,55.24,40.15,4.71,2.35,0
77.2,35.07,72.01,2.43,0.77,0
67.76,61.38,79.31,2.81,4.76,0
86.38,53.38,30.18,3.37,0.65,1
63.58,79.51,30.46,1.39,2.79,1
71.9,43.51,72.62,1.57,1.74,0
70.45,50.09,60.24,4.76,2.76,0
95.78,58.68,64.25,1.47,3.15,1
58.04,64.38,59.51,1.25,3.47,0
76.96,53.85,64.91,2.53,3.52,0
79.51,39.83,65.84,4.44,3.73,0
82.68,59.13,54.71,3.97,1.94,1
80.4,67.74,71.66,2.97,3.23,1
107.29,93.3,58.98,4.82,4.9,1
69.32,37.45,65.53,3.67,1.27,0
55.25,54.06,63.36,4.51,3.89,0
75.02,31.97,49.46,1.82,3.49,0
81.4,56.53,61.29,1.11,1.94,0
75.78,33.84,32.85,1.07,2.61,0
79.35,38.55,35.55,3.47,1.03,1
93.03,37.16,40.43,4.42,1.08,1
70.81,54.88,70.62,4.76,1.75,0
64.6,39.72,53.0,1.84,4.01,0
80.51,45.07,61.75,1.14,2.16,0
82.81,55.99,73.33,2.45,1.33,1
88.32,99.79,76.81,1.46,3.56,1
88.56,31.79,72.03,2.13,1.75,0
81.02,55.28,60.03,3.59,3.22,0
77.71,67.2,65.06,4.58,3.67,0
83.09,49.38,45.33,1.22,1.03,0
80.45,53.52,61.32,2.61,3.42,0
90.13,41.71,78.12,3.45,0.98,1
71.07,56.3,58.3,4.22,4.72,0
68.78,50.77,49.09,1.51,4.52,0
68.25,35.46,32.25,4.6,4.08,0
81.1,28.72,59.16,3.24,4.97,0
73.72,30.16,70.36,3.86,2.45,0
79.4,36.73,58.94,4.58,1.62,0
78.0,67.51,79.19,4.81,3.17,0
78.79,42.03,57.88,3.8,1.95,0
68.44,66.26,32.66,3.85,4.81,1
88.25,49.58,79.73,3.96,4.97,0
70.84,48.1,76.16,2.54,2.92,0
81.06,69.99,42.97,4.36,0.84,0
83.6,57.59,66.44,1.61,3.9,0
73.35,80.3,42.72,1.88,4.89,1
81.7,35.49,48.87,1.42,4.67,0
71.25,67.79,57.29,3.15,1.33,0
73.38,59.05,37.88,2.49,3.22,0
68.52,47.72,46.17,4.54,3.39,0
77.31,53.68,51.56,2.34,3.13,0
73.26,30.87,64.49,1.72,4.6,0
70.47,22.06,61.44,1.6,3.98,0
73.06,41.98,74.78,2.41,3.81,0
78.41,51.67,65.53,3.97,3.15,0
83.07,26.49,67.91,4.49,4.63,0
81.03,38.6,62.76,1.01,2.12,0
69.15,64.69,40.09,2.14,2.72,0
82.27,39.55,54.34,1.33,0.54,0
63.6,54.3,56.94,3.24,3.28,0
55.98,52.4,75.82,3.29,1.96,0
79.69,63.71,48.81,1.96,4.61,0
82.55,39.16,70.96,1.45,3.8,0
94.55,55.01,74.18,4.87,4.81,1
73.64,28.81,30.4,4.5,4.17,0
63.07,33.07,72.63,4.61,4.09,0
68.28,45.13,30.36,1.6,3.41,0
85.07,54.69,70.49,3.46,4.04,0
77.02,70.93,65.08,4.48,4.28,0
61.48,70.44,40.79,2.06,3.7,0
71.66,51.02,75.9,3.19,3.41,0
76.26,71.37,73.36,2.8,1.73,0
91.78,35.4,43.93,3.34,2.57,1
77.7,50.69,72.13,3.48,0.96,0
69.86,30.54,69.77,2.31,1.04,0
68.75,53.53,53.87,4.91,1.45,1
80.26,60.67,67.88,1.47,2.26,0
67.92,44.44,64.66,4.39,3.89,1
68.46,51.24,49.01,3.1,1.18,0
75.19,53.87,73.03,2.04,4.25,0
77.41,66.75,42.64,4.51,2.93,0
63.63,60.76,64.31,4.94,3.92,0
59.4,26.2,39.61,4.14,2.77,1
81.75,35.3,64.25,2.6,2.02,0
81.45,36.13,64.15,2.87,0.81,1
65.76,65.45,52.82,1.78,2.05,0
55.03,38.03,53.4,2.63,0.93,0
73.34,36.16,44.07,1.46,1.99,0
73.55,57.75,49.39,1.17,4.05,0
64.18,57.05,78.11,4.65,2.7,0
62.77,55.23,61.77,4.27,4.32,0
78.48,60.27,57.9,4.34,4.08,1
69.41,51.77,43.47,4.07,3.95,0
86.12,48.5,43.02,3.09,3.47,0
79.4,36.16,77.81,3.35,0.78,0
87.92,79.43,55.69,2.66,4.17,0
69.1,47.63,42.54,4.16,0.64,0
83.02,63.05,40.0,1.86,4.61,0
65.11,56.68,57.97,3.2,0.77,0
56.67,69.68,60.14,4.52,3.04,1
72.26,41.34,76.88,3.95,4.33,0
69.46,47.36,68.34,2.62,3.69,0
67.42,36.71,69.85,2.04,2.95,1
70.94,59.97,34.88,1.96,0.58,0
87.28,55.59,53.61,4.27,2.0,0
65.87,67.39,45.1,1.55,2.89,1
74.94,68.59,76.69,2.01,1.53,0
68.47,30.89,74.28,3.72,2.17,0
65.93,41.55,54.72,2.94,1.46,0
75.18,59.1,52.18,3.16,4.44,0
83.76,46.39,67.2,2.79,0.99,1
68.66,61.14,46.4,3.2,3.64,0
73.38,27.87,57.56,1.88,3.8,0
79.21,63.22,71.81,3.09,2.48,0
73.23,43.58,45.06,2.83,3.13,0
78.15,64.82,37.46,4.84,1.77,0
76.77,48.25,41.86,3.26,4.76,1
62.07,64.86,38.59,3.96,3.0,0
85.5,51.23,46.49,4.94,2.61,0
87.7,57.37,67.24,3.93,4.18,0
64.38,43.18,46.24,2.5,4.97,0
70.35,70.12,77.84,4.92,1.65,1
84.75,65.31,33.3,3.66,0.92,0
86.7,41.16,55.73,2.27,4.11,0
72.16,50.83,79.89,2.03,0.97,0
67.19,52.35,54.47,1.53,2.7,0
56.17,54.63,76.55,2.1,1.53,0
70.8,50.92,41.7,1.84,1.4,0
71.39,31.93,65.11,1.33,4.31,0
79.46,62.74,51.48,1.13,4.85,0
71.59,41.04,45.64,3.16,1.82,0
82.7,74.06,36.87,4.93,3.74,0
93.43,59.83,77.45,1.63,3.21,1
72.59,61.51,39.46,3.47,3.27,0
73.02,30.2,51.42,1.47,3.07,0
72.86,56.73,33.03,4.48,2.55,0
85.19,71.09,41.28,3.17,4.97,0
100.95,44.61,60.15,2.34,0.73,1
72.95,45.18,55.1,3.63,2.26,0
97.56,69.8,38.44,2.58,2.84,1
79.29,48.44,67.83,2.68,2.37,0
87.02,52.36,60.06,1.09,1.23,0
79.35,32.89,56.1,2.27,1.06,0
84.93,27.17,48.66,3.3,3.67,0
72.47,85.9,68.76,1.61,2.4,1
84.19,73.62,59.18,2.73,3.08,0
74.08,47.57,78.2,3.74,1.92,0
67.37,60.29,42.43,2.18,1.33,0
75.92,35.92,67.87,3.94,4.66,0
69.92,78.02,43.52,4.77,0.8,0
